Province,AQI
 上海市,98.18181818181819
 云南省,41.50058139534884
 内蒙古自治区,16.6158940397351
 北京市,33.921875
 吉林省,62.31560693641619
 四川省,70.0410356619443
 天津市,101.75510204081633
 宁夏回族自治区,29.17578125
 安徽省,85.9505582137161
 山东省,125.1002994011976
 山西省,46.3841726618705
 广东省,58.40506329113924
 广西壮族自治区,66.18773946360153
 新疆维吾尔自治区,27.171395815419892
 江苏省,94.30963302752293
 江西省,66.64613368283094
 河北省,71.39160839160839
 河南省,103.26530612244898
 浙江省,68.0711009174312
 海南省,47.348387096774196
 湖北省,71.2277108433735
 湖南省,71.94982896237173
 甘肃省,32.6470189701897
 福建省,44.589090909090906
 西藏自治区,25.909221385001793
 贵州省,69.05158264947245
 辽宁省,49.175040518638575
 重庆市,80.31045751633987
 陕西省,42.72668810289389
 青海省,26.28877988963826
 黑龙江省,60.88760330578513
